,cust,monetary,recency,frequency,R,F,M,cluster,RFM_score,class
37,M001639664,2311871.0,10.0,26.0,4,1,1,0.0,50.766930271979845,3
38,M001640580,495510.0,1.0,49.0,4,1,1,0.0,50.766930271979845,3
39,M001676416,8900.0,230.0,1.0,1,1,1,0.0,25.0,4
40,M001694463,4123468.0,123.0,68.0,2,2,1,0.0,42.03520590080477,4
41,M001697471,2017040.0,18.0,35.0,4,1,1,1.0,50.766930271979845,3
42,M001697472,4682300.0,32.0,4.0,4,1,1,0.0,50.766930271979845,3
43,M001698984,340400.0,15.0,16.0,4,1,1,0.0,50.766930271979845,3
44,M001714196,4727880.0,3.0,131.0,4,2,1,0.0,59.213159415457994,2
45,M001719436,21400.0,69.0,2.0,3,1,1,0.0,42.17795351465323,4
46,M001729158,3601773.0,17.0,87.0,4,2,1,2.0,59.213159415457994,2
47,M001796054,2096302.0,11.0,31.0,4,1,1,0.0,50.766930271979845,3
48,M001808316,5687340.0,1.0,78.0,4,2,1,1.0,59.213159415457994,2
49,M001826589,2545420.0,27.0,23.0,4,1,1,0.0,50.766930271979845,3
50,M001871581,36000.0,150.0,1.0,2,1,1,0.0,33.58897675732661,4
51,M001932188,634750.0,31.0,31.0,4,1,1,0.0,50.766930271979845,3
52,M001964634,149900.0,72.0,1.0,3,1,1,0.0,42.17795351465323,4
53,M001996055,1126450.0,35.0,24.0,4,1,1,0.0,50.766930271979845,3
54,M002009440,3458920.0,3.0,55.0,4,2,1,2.0,59.213159415457994,2
55,M002102710,502760.0,9.0,6.0,4,1,1,1.0,50.766930271979845,3
56,M002122238,316050.0,2.0,42.0,4,1,1,0.0,50.766930271979845,3
57,M002181288,1438366.0,5.0,25.0,4,1,1,0.0,50.766930271979845,3
58,M002186187,631405.0,142.0,20.0,2,1,1,0.0,33.58897675732661,4
59,M002188008,71900.0,120.0,18.0,3,1,1,1.0,42.17795351465323,4
60,M002238144,2131046.0,1.0,172.0,4,3,1,1.0,67.65938855893616,1
61,M002352655,5204935.0,8.0,55.0,4,2,1,0.0,59.213159415457994,2
62,M002476170,28159696.0,1.0,52.0,4,2,2,0.0,67.17795351465323,1
63,M002516882,7614730.0,43.0,36.0,3,1,1,2.0,42.17795351465323,4
64,M002631028,65800.0,62.0,2.0,3,1,1,1.0,42.17795351465323,4
66,M002712183,536140.0,22.0,40.0,4,1,1,1.0,50.766930271979845,3
67,M002867247,310800.0,19.0,2.0,4,1,1,0.0,50.766930271979845,3
68,M002867841,401500.0,128.0,15.0,2,1,1,2.0,33.58897675732661,4
69,M002900547,1037100.0,62.0,28.0,3,1,1,0.0,42.17795351465323,4
70,M002944916,1724250.0,7.0,22.0,4,1,1,0.0,50.766930271979845,3
71,M002968688,43500.0,103.0,1.0,3,1,1,0.0,42.17795351465323,4
72,M003005564,150800.0,7.0,5.0,4,1,1,2.0,50.766930271979845,3
73,M003178578,1588087.0,180.0,21.0,2,1,1,0.0,33.58897675732661,4
74,M003213142,99000.0,10.0,1.0,4,1,1,3.0,50.766930271979845,3
75,M003230318,98100.0,25.0,3.0,4,1,1,0.0,50.766930271979845,3
76,M003281441,886090.0,3.0,25.0,4,1,1,1.0,50.766930271979845,3
77,M003342315,652756.0,133.0,15.0,2,1,1,2.0,33.58897675732661,4
78,M003411495,233230.0,22.0,15.0,4,1,1,3.0,50.766930271979845,3
79,M003423693,229760.0,253.0,27.0,1,1,1,0.0,25.0,4
80,M003427143,1229050.0,3.0,35.0,4,1,1,0.0,50.766930271979845,3
81,M003468477,118600.0,43.0,4.0,3,1,1,0.0,42.17795351465323,4
82,M003490042,103190.0,189.0,5.0,2,1,1,0.0,33.58897675732661,4
83,M003512783,55140.0,310.0,2.0,1,1,1,0.0,25.0,4
84,M003528940,1060203.0,8.0,48.0,4,1,1,0.0,50.766930271979845,3
85,M003531710,26025563.0,2.0,156.0,4,3,2,0.0,75.62418265813139,1
86,M003563148,2046112.0,15.0,41.0,4,1,1,0.0,50.766930271979845,3
87,M003574741,2028280.0,7.0,33.0,4,1,1,0.0,50.766930271979845,3
89,M003641896,12607897.0,6.0,57.0,4,2,1,1.0,59.213159415457994,2
90,M003673750,2290750.0,7.0,70.0,4,2,1,3.0,59.213159415457994,2
92,M003765725,2373640.0,2.0,146.0,4,3,1,1.0,67.65938855893616,1
93,M003803545,6111585.0,2.0,148.0,4,3,1,0.0,67.65938855893616,1
94,M003827618,1960967.0,1.0,127.0,4,2,1,0.0,59.213159415457994,2
95,M003834772,1501140.0,1.0,82.0,4,2,1,0.0,59.213159415457994,2
96,M003842970,5483270.0,70.0,65.0,3,2,1,0.0,50.62418265813138,3
97,M003847817,690400.0,254.0,14.0,1,1,1,0.0,25.0,4
98,M003872277,1161024.0,33.0,24.0,4,1,1,0.0,50.766930271979845,3
99,M003918629,92820.0,83.0,3.0,3,1,1,1.0,42.17795351465323,4
100,M003948947,26537400.0,8.0,32.0,4,1,2,0.0,58.731724371175076,2
101,M003972434,880420.0,26.0,29.0,4,1,1,2.0,50.766930271979845,3
102,M003978013,2907403.0,5.0,81.0,4,2,1,0.0,59.213159415457994,2
103,M004056262,901270.0,13.0,27.0,4,1,1,2.0,50.766930271979845,3
104,M004292419,4049600.0,11.0,34.0,4,1,1,3.0,50.766930271979845,3
106,M004338856,4285104.0,14.0,97.0,4,2,1,0.0,59.213159415457994,2
107,M004368674,352790.0,45.0,14.0,3,1,1,0.0,42.17795351465323,4
108,M004382321,417250.0,16.0,20.0,4,1,1,0.0,50.766930271979845,3
109,M004430311,713550.0,169.0,24.0,2,1,1,0.0,33.58897675732661,4
110,M004434460,914418.0,13.0,19.0,4,1,1,0.0,50.766930271979845,3
111,M004452072,1010190.0,200.0,12.0,2,1,1,3.0,33.58897675732661,4
112,M004494018,3600.0,264.0,1.0,1,1,1,0.0,25.0,4
113,M004540352,82540.0,81.0,1.0,3,1,1,0.0,42.17795351465323,4
114,M004587507,7215740.0,6.0,9.0,4,1,1,0.0,50.766930271979845,3
115,M004593982,17572490.0,4.0,209.0,4,3,2,0.0,75.62418265813139,1
116,M004595449,96100.0,12.0,3.0,4,1,1,0.0,50.766930271979845,3
117,M004599697,2555740.0,10.0,102.0,4,2,1,1.0,59.213159415457994,2
118,M004601295,74000.0,29.0,2.0,4,1,1,0.0,50.766930271979845,3
119,M004610895,73000.0,231.0,1.0,1,1,1,0.0,25.0,4
120,M004701344,2515740.0,8.0,30.0,4,1,1,1.0,50.766930271979845,3
121,M004725109,7446710.0,4.0,154.0,4,3,1,0.0,67.65938855893616,1
122,M004743281,10377790.0,21.0,60.0,4,2,1,0.0,59.213159415457994,2
123,M004831050,1942246.0,3.0,21.0,4,1,1,0.0,50.766930271979845,3
124,M004839058,4404426.0,3.0,77.0,4,2,1,0.0,59.213159415457994,2
125,M004843031,727321.0,73.0,21.0,3,1,1,0.0,42.17795351465323,4
126,M004843133,826464.0,1.0,46.0,4,1,1,0.0,50.766930271979845,3
128,M004916501,559190.0,9.0,60.0,4,2,1,3.0,59.213159415457994,2
130,M004998385,609470.0,77.0,8.0,3,1,1,0.0,42.17795351465323,4
131,M005071497,880270.0,1.0,47.0,4,1,1,0.0,50.766930271979845,3
132,M005113779,1238921.0,12.0,81.0,4,2,1,2.0,59.213159415457994,2
133,M005113806,2543230.0,16.0,47.0,4,1,1,0.0,50.766930271979845,3
134,M005190060,3339808.0,10.0,165.0,4,3,1,0.0,67.65938855893616,1
135,M005209297,2683086.0,1.0,161.0,4,3,1,1.0,67.65938855893616,1
136,M005233669,152378.0,9.0,11.0,4,1,1,0.0,50.766930271979845,3
137,M005297673,3705080.0,14.0,28.0,4,1,1,0.0,50.766930271979845,3
138,M005317556,1728900.0,288.0,5.0,1,1,1,0.0,25.0,4
139,M005360407,3342620.0,51.0,43.0,3,1,1,0.0,42.17795351465323,4
140,M005392126,3142745.0,3.0,72.0,4,2,1,3.0,59.213159415457994,2
141,M005448564,4201165.0,1.0,59.0,4,2,1,0.0,59.213159415457994,2
142,M005462100,59000.0,163.0,1.0,2,1,1,0.0,33.58897675732661,4
144,M005484498,8161218.0,3.0,63.0,4,2,1,0.0,59.213159415457994,2
145,M005515605,2522260.0,21.0,25.0,4,1,1,0.0,50.766930271979845,3
146,M005539469,669590.0,55.0,12.0,3,1,1,0.0,42.17795351465323,4
147,M005565524,45560.0,10.0,5.0,4,1,1,0.0,50.766930271979845,3
148,M005646515,883680.0,5.0,19.0,4,1,1,0.0,50.766930271979845,3
149,M005665716,2138450.0,3.0,35.0,4,1,1,2.0,50.766930271979845,3
150,M005701809,3070950.0,13.0,40.0,4,1,1,0.0,50.766930271979845,3
151,M005714647,36900.0,340.0,1.0,1,1,1,0.0,25.0,4
152,M005731374,551950.0,6.0,30.0,4,1,1,0.0,50.766930271979845,3
153,M005756325,1429410.0,28.0,38.0,4,1,1,0.0,50.766930271979845,3
154,M005802062,12600.0,131.0,1.0,2,1,1,2.0,33.58897675732661,4
155,M005930833,8494424.0,2.0,147.0,4,3,1,0.0,67.65938855893616,1
156,M005931829,2204617.0,3.0,124.0,4,2,1,0.0,59.213159415457994,2
157,M005951417,2185634.0,7.0,55.0,4,2,1,0.0,59.213159415457994,2
158,M005978086,1078950.0,27.0,16.0,4,1,1,3.0,50.766930271979845,3
159,M006026730,536120.0,9.0,22.0,4,1,1,0.0,50.766930271979845,3
161,M006060731,5625710.0,192.0,67.0,2,2,1,0.0,42.03520590080477,4
162,M006101185,2672796.0,15.0,50.0,4,1,1,1.0,50.766930271979845,3
163,M006103201,7407825.0,1.0,156.0,4,3,1,2.0,67.65938855893616,1
164,M006114154,2682327.0,6.0,43.0,4,1,1,0.0,50.766930271979845,3
165,M006155904,614480.0,14.0,25.0,4,1,1,1.0,50.766930271979845,3
166,M006156170,1795220.0,199.0,37.0,2,1,1,0.0,33.58897675732661,4
168,M006189359,1957793.0,27.0,46.0,4,1,1,0.0,50.766930271979845,3
169,M006201429,3096647.0,8.0,65.0,4,2,1,0.0,59.213159415457994,2
170,M006216667,4586281.0,8.0,52.0,4,2,1,0.0,59.213159415457994,2
171,M006260135,96550.0,244.0,3.0,1,1,1,0.0,25.0,4
172,M006272431,21820724.0,18.0,122.0,4,2,2,0.0,67.17795351465323,1
173,M006276409,9596360.0,14.0,23.0,4,1,1,0.0,50.766930271979845,3
174,M006333495,1176430.0,13.0,41.0,4,1,1,2.0,50.766930271979845,3
175,M006338386,1394746.0,51.0,26.0,3,1,1,0.0,42.17795351465323,4
176,M006358338,1020820.0,155.0,20.0,2,1,1,0.0,33.58897675732661,4
177,M006407679,20210460.0,3.0,128.0,4,2,2,0.0,67.17795351465323,1
178,M006422356,1839943.0,63.0,41.0,3,1,1,0.0,42.17795351465323,4
179,M006429452,5775260.0,25.0,39.0,4,1,1,0.0,50.766930271979845,3
180,M006453588,1548660.0,134.0,144.0,2,3,1,2.0,50.48143504428292,3
181,M006466671,387265.0,21.0,19.0,4,1,1,0.0,50.766930271979845,3
182,M006627098,5982440.0,6.0,113.0,4,2,1,0.0,59.213159415457994,2
183,M006658403,5290856.0,1.0,145.0,4,3,1,1.0,67.65938855893616,1
184,M006679751,1836280.0,7.0,50.0,4,1,1,0.0,50.766930271979845,3
185,M006703537,9424916.0,4.0,34.0,4,1,1,1.0,50.766930271979845,3
186,M006704643,945540.0,23.0,28.0,4,1,1,0.0,50.766930271979845,3
187,M006712731,93100.0,121.0,1.0,2,1,1,3.0,33.58897675732661,4
188,M006725113,1188558.0,23.0,24.0,4,1,1,0.0,50.766930271979845,3
189,M006727302,1980084.0,2.0,52.0,4,2,1,0.0,59.213159415457994,2
190,M006728866,2889750.0,22.0,26.0,4,1,1,1.0,50.766930271979845,3
191,M006775596,2901651.0,11.0,31.0,4,1,1,0.0,50.766930271979845,3
192,M006826436,7826890.0,35.0,63.0,4,2,1,0.0,59.213159415457994,2
193,M006865239,46050.0,137.0,5.0,2,1,1,0.0,33.58897675732661,4
194,M006902585,1634306.0,2.0,144.0,4,3,1,0.0,67.65938855893616,1
195,M006904172,9767778.0,2.0,96.0,4,2,1,0.0,59.213159415457994,2
196,M006947340,771658.0,63.0,19.0,3,1,1,0.0,42.17795351465323,4
197,M006962764,1085730.0,19.0,35.0,4,1,1,0.0,50.766930271979845,3
198,M006976766,386470.0,110.0,3.0,3,1,1,0.0,42.17795351465323,4
199,M006985653,1642900.0,19.0,39.0,4,1,1,0.0,50.766930271979845,3
200,M006994878,78630.0,231.0,1.0,1,1,1,0.0,25.0,4
201,M006997862,9596681.0,3.0,143.0,4,3,1,0.0,67.65938855893616,1
202,M007005601,245250.0,6.0,11.0,4,1,1,0.0,50.766930271979845,3
203,M007196501,4743264.0,48.0,48.0,3,1,1,0.0,42.17795351465323,4
204,M007207067,1652946.0,5.0,66.0,4,2,1,0.0,59.213159415457994,2
205,M007229712,1044940.0,5.0,44.0,4,1,1,1.0,50.766930271979845,3
206,M007319872,13157143.0,26.0,64.0,4,2,1,1.0,59.213159415457994,2
207,M007349628,1097802.0,11.0,98.0,4,2,1,0.0,59.213159415457994,2
208,M007354680,3603940.0,1.0,45.0,4,1,1,0.0,50.766930271979845,3
209,M007463920,3471738.0,18.0,66.0,4,2,1,0.0,59.213159415457994,2
210,M007486580,376740.0,4.0,34.0,4,1,1,0.0,50.766930271979845,3
211,M007486863,1425235.0,10.0,29.0,4,1,1,0.0,50.766930271979845,3
212,M007490836,2872660.0,14.0,73.0,4,2,1,1.0,59.213159415457994,2
213,M007523105,498410.0,1.0,8.0,4,1,1,1.0,50.766930271979845,3
214,M007569854,3120270.0,6.0,71.0,4,2,1,0.0,59.213159415457994,2
215,M007710522,4017480.0,8.0,23.0,4,1,1,0.0,50.766930271979845,3
216,M007711011,478190.0,1.0,18.0,4,1,1,0.0,50.766930271979845,3
217,M007745030,1317320.0,2.0,57.0,4,2,1,0.0,59.213159415457994,2
218,M007808106,689400.0,41.0,25.0,3,1,1,0.0,42.17795351465323,4
219,M007808151,3088794.0,55.0,15.0,3,1,1,1.0,42.17795351465323,4
220,M007909147,1507060.0,8.0,41.0,4,1,1,0.0,50.766930271979845,3
222,M008076951,1578536.0,13.0,46.0,4,1,1,0.0,50.766930271979845,3
223,M008123058,742720.0,26.0,37.0,4,1,1,3.0,50.766930271979845,3
224,M008146645,3658169.0,4.0,74.0,4,2,1,0.0,59.213159415457994,2
226,M008254198,88050.0,12.0,9.0,4,1,1,0.0,50.766930271979845,3
227,M008269534,14107180.0,83.0,111.0,3,2,1,0.0,50.62418265813138,3
228,M008280181,3438130.0,48.0,46.0,3,1,1,0.0,42.17795351465323,4
230,M008396737,5076190.0,13.0,24.0,4,1,1,0.0,50.766930271979845,3
232,M008453799,10821380.0,1.0,93.0,4,2,1,0.0,59.213159415457994,2
233,M008454401,2677884.0,16.0,51.0,4,2,1,0.0,59.213159415457994,2
234,M008527766,6800728.0,32.0,25.0,4,1,1,0.0,50.766930271979845,3
235,M008539255,318620.0,7.0,23.0,4,1,1,0.0,50.766930271979845,3
236,M008574645,1029764.0,110.0,27.0,3,1,1,0.0,42.17795351465323,4
237,M008579659,3633488.0,11.0,62.0,4,2,1,0.0,59.213159415457994,2
238,M008598245,52600.0,160.0,2.0,2,1,1,0.0,33.58897675732661,4
239,M008722896,633020.0,27.0,41.0,4,1,1,0.0,50.766930271979845,3
240,M008787005,123350.0,306.0,4.0,1,1,1,2.0,25.0,4
241,M008809647,6542680.0,7.0,62.0,4,2,1,0.0,59.213159415457994,2
242,M008858450,1181920.0,8.0,29.0,4,1,1,0.0,50.766930271979845,3
243,M008864908,968700.0,19.0,22.0,4,1,1,0.0,50.766930271979845,3
244,M008923069,1151659.0,7.0,24.0,4,1,1,0.0,50.766930271979845,3
245,M008935564,1434665.0,5.0,102.0,4,2,1,0.0,59.213159415457994,2
246,M008960015,249900.0,13.0,21.0,4,1,1,0.0,50.766930271979845,3
248,M008962563,3593539.0,1.0,159.0,4,3,1,0.0,67.65938855893616,1
250,M009032626,1899599.0,138.0,191.0,2,3,1,0.0,50.48143504428292,3
251,M009037939,2334976.0,3.0,38.0,4,1,1,0.0,50.766930271979845,3
252,M009092385,1353480.0,25.0,17.0,4,1,1,1.0,50.766930271979845,3
253,M009092500,3782710.0,11.0,30.0,4,1,1,0.0,50.766930271979845,3
254,M009102336,428740.0,29.0,12.0,4,1,1,0.0,50.766930271979845,3
255,M009109982,8030679.0,18.0,44.0,4,1,1,0.0,50.766930271979845,3
256,M009120822,9720640.0,1.0,123.0,4,2,1,0.0,59.213159415457994,2
257,M009183049,3729580.0,10.0,61.0,4,2,1,0.0,59.213159415457994,2
258,M009206232,4618930.0,15.0,39.0,4,1,1,0.0,50.766930271979845,3
259,M009233630,1278800.0,191.0,12.0,2,1,1,0.0,33.58897675732661,4
260,M009278577,1196248.0,1.0,53.0,4,2,1,0.0,59.213159415457994,2
261,M009298760,310500.0,33.0,10.0,4,1,1,0.0,50.766930271979845,3
262,M009326002,1052519.0,2.0,98.0,4,2,1,2.0,59.213159415457994,2
263,M009331919,557990.0,1.0,47.0,4,1,1,1.0,50.766930271979845,3
264,M009390126,6158930.0,1.0,56.0,4,2,1,0.0,59.213159415457994,2
265,M009406532,159700.0,1.0,7.0,4,1,1,0.0,50.766930271979845,3
266,M009432696,1573498.0,3.0,27.0,4,1,1,0.0,50.766930271979845,3
267,M009432951,1199666.0,27.0,53.0,4,2,1,0.0,59.213159415457994,2
268,M009475811,5136106.0,1.0,207.0,4,3,1,3.0,67.65938855893616,1
269,M009491102,1916940.0,18.0,56.0,4,2,1,0.0,59.213159415457994,2
271,M009541134,3499084.0,3.0,155.0,4,3,1,3.0,67.65938855893616,1
272,M009664307,2111400.0,71.0,16.0,3,1,1,1.0,42.17795351465323,4
273,M009682567,526825.0,10.0,11.0,4,1,1,0.0,50.766930271979845,3
274,M009723110,2905366.0,12.0,44.0,4,1,1,0.0,50.766930271979845,3
275,M009729859,1805690.0,4.0,60.0,4,2,1,0.0,59.213159415457994,2
276,M009731870,5144168.0,8.0,115.0,4,2,1,0.0,59.213159415457994,2
278,M009754131,3091430.0,4.0,30.0,4,1,1,1.0,50.766930271979845,3
280,M009962161,6250230.0,18.0,75.0,4,2,1,0.0,59.213159415457994,2
281,M009979598,2695528.0,10.0,24.0,4,1,1,0.0,50.766930271979845,3
282,M009983001,2176480.0,22.0,28.0,4,1,1,0.0,50.766930271979845,3
283,M010031285,537851.0,2.0,37.0,4,1,1,0.0,50.766930271979845,3
284,M010034420,542400.0,139.0,15.0,2,1,1,0.0,33.58897675732661,4
285,M010037014,5516290.0,93.0,711.0,3,3,1,1.0,59.07041180160954,2
286,M010043769,1752360.0,3.0,74.0,4,2,1,1.0,59.213159415457994,2
287,M010049359,1197400.0,6.0,32.0,4,1,1,0.0,50.766930271979845,3
288,M010053498,280030.0,28.0,34.0,4,1,1,0.0,50.766930271979845,3
289,M010063401,2343970.0,21.0,46.0,4,1,1,0.0,50.766930271979845,3
290,M010068705,37440.0,345.0,2.0,1,1,1,0.0,25.0,4
291,M010080814,784352.0,1.0,25.0,4,1,1,0.0,50.766930271979845,3
292,M010089323,53640.0,343.0,2.0,1,1,1,0.0,25.0,4
293,M010141777,23040.0,339.0,1.0,1,1,1,0.0,25.0,4
294,M010224238,223000.0,62.0,1.0,3,1,1,0.0,42.17795351465323,4
295,M010259055,1358150.0,8.0,25.0,4,1,1,0.0,50.766930271979845,3
296,M010288392,1487251.0,5.0,89.0,4,2,1,0.0,59.213159415457994,2
298,M010337779,885290.0,7.0,11.0,4,1,1,0.0,50.766930271979845,3
300,M010379936,710620.0,11.0,13.0,4,1,1,0.0,50.766930271979845,3
301,M010423314,1969686.0,11.0,107.0,4,2,1,1.0,59.213159415457994,2
302,M010430064,680600.0,47.0,13.0,3,1,1,0.0,42.17795351465323,4
303,M010578364,581189.0,18.0,34.0,4,1,1,0.0,50.766930271979845,3
304,M010595795,3351830.0,2.0,70.0,4,2,1,0.0,59.213159415457994,2
305,M010597817,1445578.0,24.0,41.0,4,1,1,2.0,50.766930271979845,3
307,M010674880,1347214.0,32.0,52.0,4,2,1,0.0,59.213159415457994,2
309,M010722296,740980.0,5.0,57.0,4,2,1,0.0,59.213159415457994,2
310,M010760292,7046680.0,28.0,25.0,4,1,1,0.0,50.766930271979845,3
311,M010805061,191300.0,103.0,7.0,3,1,1,0.0,42.17795351465323,4
312,M010913491,567480.0,85.0,22.0,3,1,1,0.0,42.17795351465323,4
313,M010965707,708830.0,14.0,31.0,4,1,1,3.0,50.766930271979845,3
314,M010967394,2743913.0,27.0,58.0,4,2,1,1.0,59.213159415457994,2
315,M010994337,1165478.0,27.0,14.0,4,1,1,0.0,50.766930271979845,3
316,M011057762,633240.0,4.0,42.0,4,1,1,0.0,50.766930271979845,3
317,M011062562,48010.0,2.0,3.0,4,1,1,1.0,50.766930271979845,3
318,M011166824,193090.0,20.0,46.0,4,1,1,0.0,50.766930271979845,3
319,M011187683,4133549.0,2.0,23.0,4,1,1,0.0,50.766930271979845,3
320,M011200568,1088830.0,11.0,24.0,4,1,1,0.0,50.766930271979845,3
322,M011220106,579740.0,21.0,19.0,4,1,1,0.0,50.766930271979845,3
323,M011262591,4606060.0,4.0,27.0,4,1,1,0.0,50.766930271979845,3
324,M011283774,2082395.0,1.0,26.0,4,1,1,0.0,50.766930271979845,3
327,M011493552,936970.0,32.0,21.0,4,1,1,0.0,50.766930271979845,3
328,M011495510,640940.0,154.0,10.0,2,1,1,0.0,33.58897675732661,4
329,M011501123,3270170.0,32.0,22.0,4,1,1,0.0,50.766930271979845,3
330,M011501995,681260.0,104.0,14.0,3,1,1,0.0,42.17795351465323,4
331,M011527521,43369540.0,4.0,182.0,4,3,2,2.0,75.62418265813139,1
332,M011543777,1209402.0,17.0,22.0,4,1,1,0.0,50.766930271979845,3
333,M011663757,1275880.0,8.0,128.0,4,2,1,0.0,59.213159415457994,2
334,M011685716,112100.0,146.0,2.0,2,1,1,0.0,33.58897675732661,4
335,M011690584,224000.0,232.0,2.0,1,1,1,1.0,25.0,4
336,M011706752,17900.0,26.0,1.0,4,1,1,0.0,50.766930271979845,3
337,M011808737,1223770.0,1.0,75.0,4,2,1,0.0,59.213159415457994,2
338,M011829462,1181588.0,16.0,101.0,4,2,1,0.0,59.213159415457994,2
340,M011946286,687432.0,8.0,126.0,4,2,1,0.0,59.213159415457994,2
341,M011970152,276310.0,26.0,7.0,4,1,1,3.0,50.766930271979845,3
342,M012027846,1093992.0,28.0,18.0,4,1,1,0.0,50.766930271979845,3
343,M012046118,44500.0,358.0,1.0,1,1,1,0.0,25.0,4
344,M012085309,2355742.0,61.0,60.0,3,2,1,0.0,50.62418265813138,3
345,M012096174,1829820.0,7.0,23.0,4,1,1,0.0,50.766930271979845,3
346,M012121265,1234103.0,8.0,29.0,4,1,1,0.0,50.766930271979845,3
347,M012197943,916050.0,71.0,21.0,3,1,1,0.0,42.17795351465323,4
348,M012216253,942500.0,1.0,20.0,4,1,1,1.0,50.766930271979845,3
349,M012229902,689800.0,35.0,32.0,4,1,1,2.0,50.766930271979845,3
351,M012265036,2445050.0,27.0,29.0,4,1,1,0.0,50.766930271979845,3
352,M012312404,1017450.0,27.0,36.0,4,1,1,0.0,50.766930271979845,3
353,M012342829,2318126.0,5.0,62.0,4,2,1,1.0,59.213159415457994,2
354,M012346404,887500.0,5.0,14.0,4,1,1,0.0,50.766930271979845,3
355,M012350286,860050.0,1.0,47.0,4,1,1,0.0,50.766930271979845,3
356,M012391977,2927586.0,47.0,72.0,3,2,1,1.0,50.62418265813138,3
357,M012438441,38090.0,35.0,4.0,4,1,1,0.0,50.766930271979845,3
359,M012619532,1580440.0,13.0,29.0,4,1,1,0.0,50.766930271979845,3
360,M012620244,2045140.0,10.0,40.0,4,1,1,0.0,50.766930271979845,3
361,M012642797,2722510.0,11.0,50.0,4,1,1,0.0,50.766930271979845,3
362,M012673791,4223200.0,33.0,11.0,4,1,1,0.0,50.766930271979845,3
363,M012732690,1151813.0,138.0,29.0,2,1,1,2.0,33.58897675732661,4
365,M012767779,11386600.0,36.0,54.0,4,2,1,2.0,59.213159415457994,2
366,M012778138,2630160.0,1.0,65.0,4,2,1,0.0,59.213159415457994,2
367,M012800908,756424.0,36.0,37.0,4,1,1,0.0,50.766930271979845,3
368,M012833776,1223650.0,58.0,33.0,3,1,1,0.0,42.17795351465323,4
369,M012846338,508400.0,9.0,9.0,4,1,1,0.0,50.766930271979845,3
370,M012857373,1805756.0,12.0,86.0,4,2,1,0.0,59.213159415457994,2
371,M012936022,6496100.0,5.0,31.0,4,1,1,0.0,50.766930271979845,3
372,M012955173,2784589.0,1.0,41.0,4,1,1,0.0,50.766930271979845,3
373,M013069595,2428158.0,1.0,50.0,4,1,1,1.0,50.766930271979845,3
374,M013090322,26000.0,304.0,1.0,1,1,1,0.0,25.0,4
375,M013124981,108870.0,24.0,11.0,4,1,1,2.0,50.766930271979845,3
376,M013178107,748460.0,8.0,20.0,4,1,1,0.0,50.766930271979845,3
378,M013256049,1098923.0,11.0,30.0,4,1,1,1.0,50.766930271979845,3
