,cust,male,ages,zon_hlv,most_common_visiting,max_buy_am,most_common_time,Lpay_user,twice_product
262,M010034420,0,50,Z15,Z15,80000.0,19,1,3
263,M010037014,1,20,Z16,Z16,48000.0,18,0,90
264,M010043769,0,50,Z10,Z17,207000.0,16,0,9
265,M010049359,1,40,Z10,Z10,153500.0,19,0,10
266,M010053498,0,30,Z10,Z10,49320.0,14,1,14
267,M010063401,0,50,Z05,Z05,59900.0,11,0,63
268,M010068705,1,30,Z14,[],9980.0,14,0,2
269,M010080814,0,60,Z16,Z16,139000.0,15,0,9
270,M010089323,1,50,Z17,Z17,12500.0,20,0,0
271,M010141777,0,30,Z04,[],11520.0,8,0,0
272,M010224238,1,50,Z08,Z08,223000.0,11,0,0
273,M010259055,0,40,Z04,Z04,140000.0,17,0,36
274,M010288392,0,70,Z10,Z10,259000.0,19,0,38
275,M010337779,0,20,Z03,Z03,310000.0,16,0,3
276,M010379936,0,40,Z11,Z17,47800.0,18,0,14
277,M010423314,0,50,Z04,Z04,134100.0,17,0,64
278,M010430064,1,30,Z14,Z14,152000.0,13,0,2
279,M010578364,0,50,Z17,Z17,25980.0,10,0,20
280,M010595795,1,40,Z09,Z17,1200000.0,19,0,63
281,M010597817,0,50,Z04,Z04,239000.0,11,0,29
282,M010674880,1,50,Z10,Z10,127310.0,17,1,46
283,M010722296,1,30,Z17,Z17,12500.0,13,0,35
284,M010760292,0,30,Z10,Z10,1940000.0,12,0,4
285,M010805061,0,30,Z12,['Z08' 'Z12'],59000.0,[10 12 15],0,1
286,M010913491,1,50,Z10,Z11,32700.0,18,0,15
287,M010965707,0,30,Z10,Z10,129000.0,12,0,17
288,M010967394,0,50,Z11,Z11,359000.0,16,1,20
289,M010994337,1,40,Z05,Z13,71100.0,13,0,31
290,M011057762,1,50,Z02,Z15,21900.0,[10 14],0,14
291,M011062562,1,50,Z16,Z16,19800.0,22,0,3
292,M011166824,0,70,Z17,Z17,12000.0,16,0,16
293,M011187683,0,40,Z17,Z17,905000.0,11,1,12
294,M011200568,1,40,Z12,Z14,104300.0,12,0,29
295,M011220106,0,30,Z04,Z17,218000.0,12,0,8
296,M011262591,0,40,Z10,Z10,359000.0,20,0,5
297,M011283774,0,30,Z10,Z10,40900.0,18,0,93
298,M011493552,0,20,Z17,Z17,159000.0,16,0,5
299,M011495510,1,60,Z03,Z03,175000.0,16,0,1
300,M011501123,0,30,Z16,Z16,445400.0,16,0,7
301,M011501995,0,40,Z07,Z17,149000.0,20,1,16
302,M011527521,0,30,Z05,Z13,6150000.0,13,1,77
303,M011543777,0,50,Z17,Z17,69800.0,19,1,41
304,M011663757,1,50,Z17,Z17,82600.0,21,0,38
305,M011685716,0,20,Z17,Z17,65000.0,16,0,1
306,M011690584,1,40,Z01,[],175000.0,[17 19],0,0
307,M011706752,0,30,Z12,Z12,8800.0,18,0,1
308,M011808737,0,50,Z17,Z17,62000.0,19,0,37
309,M011829462,0,40,Z08,Z08,58800.0,[11 19],0,64
310,M011946286,0,50,Z17,Z17,44800.0,20,1,33
311,M011970152,0,50,Z17,Z17,77800.0,12,1,2
312,M012027846,0,50,Z11,Z11,266000.0,15,0,5
313,M012046118,1,30,Z12,Z12,44500.0,15,0,0
314,M012085309,0,40,Z05,Z17,128400.0,19,1,52
315,M012096174,1,50,Z17,Z17,860000.0,16,1,7
316,M012121265,1,70,Z10,Z10,70000.0,[15 16 17],0,33
317,M012197943,0,40,Z10,Z17,144500.0,17,0,14
318,M012216253,0,40,Z17,Z17,256000.0,12,0,5
319,M012229902,1,40,Z17,Z17,360000.0,13,0,12
320,M012265036,1,40,Z16,Z11,191600.0,15,0,12
321,M012312404,1,30,Z16,Z17,200000.0,[13 17],1,9
322,M012342829,1,50,Z08,Z08,40000.0,14,0,68
323,M012346404,0,30,Z04,Z10,135200.0,14,0,2
324,M012350286,1,30,Z10,Z17,50000.0,18,1,16
325,M012391977,0,50,Z13,Z13,302400.0,17,0,28
326,M012438441,0,60,Z04,Z04,14000.0,16,0,1
327,M012619532,0,50,Z11,Z11,199000.0,15,0,19
328,M012620244,0,30,Z15,Z15,146000.0,[14 15],0,8
329,M012642797,0,30,Z10,Z17,394560.0,17,0,29
330,M012673791,0,40,Z16,Z16,2500000.0,17,0,4
331,M012732690,1,40,Z17,Z17,61690.0,[12 18],1,29
332,M012767779,0,40,Z17,Z17,3810000.0,16,0,11
333,M012778138,1,30,Z17,Z17,350000.0,15,1,35
334,M012800908,0,40,Z12,Z12,39600.0,18,0,28
335,M012833776,1,30,Z10,Z04,199000.0,12,0,20
336,M012846338,0,40,Z11,Z11,120000.0,18,0,3
337,M012857373,0,60,Z10,Z10,50000.0,20,0,62
338,M012936022,0,30,Z17,Z17,2950000.0,18,0,10
339,M012955173,0,40,Z04,Z04,299000.0,15,0,45
340,M013069595,1,40,Z17,Z17,259000.0,19,1,41
341,M013090322,0,50,Z17,[],26000.0,18,1,0
342,M013124981,0,20,Z10,Z10,17000.0,13,0,5
343,M013178107,1,40,Z10,Z17,62100.0,10,1,20
344,M013256049,0,40,Z10,Z10,279000.0,20,1,19
345,M013276696,0,50,Z10,Z10,1990000.0,15,0,163
346,M013285074,0,20,Z09,Z09,1110000.0,20,1,24
347,M013366941,0,50,Z06,Z06,90000.0,21,0,76
348,M013398724,1,20,Z17,Z15,4500.0,[ 1 23],0,8
349,M013414665,0,30,Z10,Z10,3880000.0,12,0,27
350,M013587825,1,40,Z10,Z10,129000.0,11,0,12
351,M013639641,1,40,Z11,Z11,49800.0,21,1,2
352,M013684099,0,40,Z13,Z13,238800.0,22,0,19
353,M013700307,0,40,Z10,Z10,89400.0,17,1,22
354,M013769296,0,20,Z17,Z16,180600.0,12,1,30
355,M013796485,0,50,Z17,Z17,136000.0,20,0,33
356,M013839762,1,30,Z17,Z17,490000.0,19,0,7
357,M013849448,0,40,Z08,Z08,50000.0,16,0,76
358,M013922952,0,30,Z11,Z11,219000.0,18,0,99
359,M013938777,0,40,Z10,Z08,277200.0,14,1,18
360,M013962648,0,30,Z08,Z08,236700.0,12,1,48
361,M014008347,0,40,Z17,Z17,359100.0,15,1,24
362,M014035745,0,40,Z10,Z10,751800.0,[17 19],1,5
363,M014070401,1,30,Z10,Z10,7900.0,16,1,1
364,M014075207,0,50,Z17,Z17,19900.0,11,0,53
365,M014090492,1,60,Z02,Z02,69000.0,14,0,0
366,M014182354,1,20,Z10,Z10,48000.0,17,0,15
367,M014275222,0,40,Z17,Z17,1200000.0,17,1,130
368,M014292351,0,20,Z17,Z17,59900.0,19,1,22
369,M014293224,1,30,Z15,Z15,53100.0,[16 20],0,25
370,M014321937,0,60,Z10,Z10,405000.0,18,0,21
371,M014339861,0,40,Z17,Z17,2050000.0,20,0,22
372,M014340605,1,40,Z10,Z17,221400.0,9,1,49
373,M014382968,0,30,Z16,Z16,500000.0,[13 16],1,8
374,M014383657,1,60,Z17,Z17,74900.0,17,0,14
375,M014405668,0,20,Z11,Z11,158000.0,15,0,4
376,M014429367,1,20,Z17,Z03,7100.0,[14 19],0,0
377,M014467656,1,50,Z03,Z03,540000.0,19,0,170
378,M014498295,0,50,Z08,['Z06' 'Z15'],815000.0,17,0,4
379,M014583713,1,30,Z10,Z10,5800000.0,14,1,71
380,M014591324,0,50,Z14,Z17,9990.0,16,0,1
381,M014601678,0,30,Z10,Z10,741600.0,11,0,8
382,M014747239,0,40,Z10,Z10,474000.0,0,1,16
383,M014747434,0,30,Z10,Z10,9969.0,10,0,22
384,M014792007,0,30,Z13,[],175000.0,16,0,1
385,M014836999,0,30,Z04,Z04,259000.0,18,0,0
386,M014905326,1,40,Z15,Z15,72000.0,21,0,6
387,M014906758,0,60,Z04,Z04,29900.0,17,0,2
388,M014972107,0,50,Z17,Z17,12800.0,14,0,8
389,M015013029,0,30,Z17,Z17,124500.0,14,0,9
390,M015042346,0,50,Z16,Z16,1000000.0,19,1,57
391,M015046115,1,40,Z13,Z13,55300.0,12,1,9
392,M015048162,1,60,Z10,Z10,25200.0,18,0,29
393,M015093664,0,40,Z17,Z17,101100.0,16,0,31
394,M015178683,0,40,Z11,Z11,86000.0,20,0,11
395,M015213177,1,30,Z10,Z10,18900.0,20,0,21
396,M015257959,0,30,Z17,Z17,25800.0,13,0,4
397,M015281716,0,50,Z13,Z13,474000.0,16,0,8
398,M015325650,0,30,Z10,Z17,2040000.0,19,1,5
399,M015329772,0,60,Z16,Z16,179000.0,18,0,2
400,M015353566,0,30,Z05,Z08,45000.0,17,0,11
401,M015393009,0,40,Z17,Z17,333600.0,17,0,26
402,M015430351,0,50,Z17,Z10,5750000.0,14,0,5
403,M015471763,0,40,Z16,Z16,199000.0,16,1,72
404,M015481747,0,30,Z11,Z11,44250.0,14,0,38
405,M015491572,1,30,Z10,Z10,104300.0,6,1,29
406,M015518376,0,50,Z17,Z17,269100.0,[18 20],1,10
407,M015539270,0,40,Z16,Z16,2670000.0,11,0,23
408,M015550030,1,60,Z10,Z10,18900.0,19,0,22
409,M015584897,0,40,Z08,Z08,449000.0,20,0,129
410,M015605443,0,50,Z17,Z17,249000.0,[10 19 20],0,0
411,M015614508,1,20,Z10,Z10,5800.0,[3 4],1,2
412,M015639704,0,50,Z04,Z04,41100.0,11,0,66
413,M015650164,0,60,Z10,Z17,155000.0,15,1,75
414,M015674072,0,40,Z10,Z10,389000.0,12,1,52
415,M015674351,1,30,Z15,Z15,50000.0,18,1,9
416,M015750998,0,40,Z16,Z16,276000.0,16,1,128
417,M015851779,0,40,Z17,Z17,540000.0,12,1,38
418,M015853886,0,40,Z15,Z15,158000.0,21,1,61
419,M015868074,1,30,Z17,Z17,155400.0,19,0,5
420,M015892198,0,40,Z16,Z16,1207000.0,15,1,50
421,M015999293,1,30,Z12,Z12,9900.0,18,0,1
422,M016004710,0,60,Z16,Z16,1335000.0,15,1,24
423,M016061527,0,40,Z08,Z08,6600.0,8,1,10
424,M016070523,0,40,Z08,Z08,439000.0,19,1,45
425,M016178075,0,40,Z04,Z04,99800.0,19,0,51
426,M016223791,0,50,Z17,Z17,7900.0,[15 17],1,4
427,M016296091,1,30,Z10,Z10,186000.0,18,0,31
428,M016309518,0,30,Z17,Z17,536760.0,10,0,8
429,M016312977,1,20,Z04,Z17,1935300.0,[19 20],1,8
430,M016327288,0,30,Z12,Z12,40000.0,17,0,41
431,M016387478,1,40,Z17,Z17,409500.0,16,0,4
432,M016404339,1,30,Z10,Z06,1900000.0,19,1,29
433,M016456656,0,60,Z10,Z10,3210000.0,[15 16],0,1
434,M016516620,1,30,Z10,Z04,12800.0,17,0,2
435,M016532707,1,20,Z10,Z10,20000.0,18,0,1
436,M016538312,0,30,Z09,Z09,310000.0,13,0,1
437,M016546099,0,50,Z15,Z15,19800.0,13,0,4
438,M016570251,0,40,Z04,Z04,1490000.0,11,0,14
439,M016614801,1,30,Z10,Z10,140000.0,19,0,0
440,M016631704,0,40,Z17,Z17,109000.0,20,1,94
441,M016670146,0,40,Z06,Z06,234000.0,16,0,26
442,M016695423,0,40,Z15,Z15,8000.0,12,0,1
443,M016698917,0,40,Z08,Z15,805000.0,[13 16],1,2
444,M016707093,0,30,Z17,Z17,669700.0,12,1,87
445,M016713031,0,60,Z16,Z16,94900.0,16,0,0
446,M016751224,1,50,Z17,Z17,521000.0,16,1,26
447,M016764179,0,40,Z10,Z10,3736800.0,10,1,61
448,M016803268,0,50,Z09,Z09,525000.0,16,0,50
449,M016813663,0,40,Z04,Z04,72800.0,19,1,51
450,M016815450,1,20,Z10,Z17,226600.0,20,0,0
451,M016822877,0,40,Z17,Z17,636500.0,12,1,72
452,M016827017,0,40,Z17,Z17,159200.0,18,1,30
453,M016843749,0,40,Z10,Z17,490000.0,12,1,80
454,M016930208,0,20,Z10,Z10,249000.0,12,0,1
455,M016938458,0,50,Z17,Z17,999000.0,16,0,25
456,M016999679,0,50,Z10,Z10,117000.0,19,1,25
