,cust,user_total_items,total_distinct_items,user_average_basket,weekday_rate,weekend_rate
117,M191537184,721,166,16.386363636363637,0.6590909090909091,0.34090909090909094
119,M030477840,436,165,2.8129032258064517,0.632258064516129,0.367741935483871
121,M690898061,179,80,4.7105263157894735,0.2631578947368421,0.736842105263158
127,M506965359,207,66,3.9056603773584904,0.3018867924528302,0.6981132075471699
128,M725878700,81,43,3.5217391304347827,0.4782608695652174,0.5217391304347826
130,M840551273,108,30,1.7142857142857142,0.7619047619047619,0.23809523809523814
131,M746428121,151,74,2.6491228070175437,0.49122807017543857,0.5087719298245614
132,M334943764,67,31,1.488888888888889,0.37777777777777777,0.6222222222222222
133,M561787985,234,109,3.25,0.8333333333333334,0.16666666666666663
140,M982559329,1930,294,9.10377358490566,0.6698113207547169,0.33018867924528306
141,M807374636,362,100,14.48,0.76,0.24
143,M676262214,986,214,4.502283105022831,0.5616438356164384,0.4383561643835616
149,M988646555,467,120,3.265734265734266,0.5804195804195804,0.4195804195804196
150,M530294706,88,57,3.52,0.12,0.88
154,M900002349,193,69,4.595238095238095,0.4523809523809524,0.5476190476190477
156,M694209751,1136,316,4.59919028340081,0.46153846153846156,0.5384615384615384
158,M123475113,64,29,4.0,0.6875,0.3125
163,M318802112,61,29,1.7428571428571429,0.4,0.6
168,M038801652,209,110,1.5144927536231885,0.572463768115942,0.427536231884058
174,M517637921,551,172,4.963963963963964,0.6846846846846847,0.3153153153153153
176,M539562667,159,51,2.409090909090909,0.6515151515151515,0.3484848484848485
177,M615380326,110,21,1.8333333333333333,0.26666666666666666,0.7333333333333334
180,M609491987,67,35,1.2641509433962264,0.6981132075471698,0.30188679245283023
181,M259613010,123,42,4.92,0.28,0.72
186,M338310215,40,23,1.3333333333333333,0.3,0.7
187,M156930891,253,71,3.563380281690141,0.5633802816901409,0.43661971830985913
192,M419249862,941,200,4.257918552036199,0.48868778280542985,0.5113122171945701
193,M474747127,91,46,3.3703703703703702,0.25925925925925924,0.7407407407407407
194,M624588650,701,202,2.2833876221498373,0.5374592833876222,0.46254071661237783
195,M083434555,26,18,1.3,0.65,0.35
196,M049216782,62,27,1.55,0.225,0.775
199,M897579293,53,21,1.7666666666666666,0.7,0.30000000000000004
201,M316171414,68,39,1.6585365853658536,0.7317073170731707,0.2682926829268293
206,M583031784,175,55,8.333333333333334,0.23809523809523808,0.7619047619047619
214,M370732403,111,56,1.85,0.45,0.55
217,M336360825,3,3,1.0,1.0,0.0
218,M835554931,140,57,2.7450980392156863,0.6862745098039216,0.3137254901960784
219,M456838034,67,25,2.09375,0.625,0.375
221,M586590453,237,78,7.9,0.8,0.19999999999999996
223,M618317251,77,45,3.08,0.68,0.31999999999999995
224,M956523130,56,24,1.3658536585365855,0.2682926829268293,0.7317073170731707
226,M125895076,456,143,6.0,0.631578947368421,0.368421052631579
228,M053988830,27,18,1.2857142857142858,0.6666666666666666,0.33333333333333337
229,M135902971,203,109,2.569620253164557,0.2911392405063291,0.7088607594936709
231,M331473499,427,128,3.310077519379845,0.4883720930232558,0.5116279069767442
232,M590533132,85,42,2.4285714285714284,0.34285714285714286,0.6571428571428571
237,M977958641,346,137,3.5306122448979593,0.5612244897959183,0.4387755102040817
240,M080584695,115,40,2.4468085106382977,0.6170212765957447,0.3829787234042553
243,M048866855,123,58,1.3977272727272727,0.2159090909090909,0.7840909090909091
246,M544570827,129,53,3.909090909090909,0.3939393939393939,0.6060606060606061
250,M752234615,185,84,1.9473684210526316,0.6631578947368421,0.33684210526315794
252,M503639362,66,43,1.6923076923076923,0.41025641025641024,0.5897435897435898
254,M397267143,6,4,1.0,0.3333333333333333,0.6666666666666667
261,M361261196,103,32,1.0957446808510638,0.6170212765957447,0.3829787234042553
264,M781690028,150,63,1.4563106796116505,0.30097087378640774,0.6990291262135923
265,M400682924,251,99,2.4134615384615383,0.38461538461538464,0.6153846153846154
270,M819510622,7,7,1.4,0.8,0.19999999999999996
272,M690515737,36,21,1.7142857142857142,0.6190476190476191,0.38095238095238093
279,M366378636,9,7,1.5,0.8333333333333334,0.16666666666666663
281,M781279343,201,119,6.090909090909091,0.6060606060606061,0.3939393939393939
283,M238272817,87,48,5.4375,0.3125,0.6875
284,M283308210,78,30,1.7333333333333334,0.3111111111111111,0.6888888888888889
290,M289433991,72,39,3.6,0.6,0.4
292,M889933238,143,49,3.4047619047619047,0.7142857142857143,0.2857142857142857
294,M891510784,135,52,1.569767441860465,0.4883720930232558,0.5116279069767442
299,M557567409,171,72,4.170731707317073,0.3170731707317073,0.6829268292682926
303,M467972035,571,125,2.706161137440758,0.7109004739336493,0.2890995260663507
307,M307151561,295,107,3.4705882352941178,0.5764705882352941,0.42352941176470593
311,M567053439,1090,208,5.647668393782383,0.7046632124352331,0.2953367875647669
320,M542006779,55,35,1.71875,0.75,0.25
321,M538975514,799,207,5.875,0.4338235294117647,0.5661764705882353
322,M751728576,418,137,3.4545454545454546,0.7520661157024794,0.2479338842975206
325,M471430471,153,58,1.3304347826086957,0.4434782608695652,0.5565217391304348
333,M740718660,249,113,3.608695652173913,0.7681159420289855,0.23188405797101452
344,M970944841,125,72,3.5714285714285716,0.22857142857142856,0.7714285714285715
348,M063704872,133,77,7.823529411764706,0.8235294117647058,0.17647058823529416
349,M736347559,211,67,3.3492063492063493,0.8253968253968254,0.17460317460317465
350,M081078897,73,26,1.972972972972973,0.6756756756756757,0.32432432432432434
351,M478445642,66,41,1.8333333333333333,0.2222222222222222,0.7777777777777778
352,M277171255,53,31,1.7096774193548387,0.6451612903225806,0.3548387096774194
353,M555439355,336,144,2.9734513274336285,0.415929203539823,0.584070796460177
359,M041303212,241,117,2.1327433628318584,0.5929203539823009,0.4070796460176991
361,M867122864,62,17,1.631578947368421,0.7894736842105263,0.21052631578947367
362,M291380287,64,41,3.5555555555555554,0.8333333333333334,0.16666666666666663
364,M355489415,412,122,2.861111111111111,0.4861111111111111,0.5138888888888888
365,M374870930,69,29,1.3269230769230769,0.7307692307692307,0.2692307692307693
367,M966247621,456,88,4.071428571428571,0.7321428571428571,0.2678571428571429
368,M685408649,90,42,1.7647058823529411,0.5294117647058824,0.47058823529411764
369,M849831487,61,25,1.3863636363636365,0.6363636363636364,0.36363636363636365
373,M134888191,142,53,2.6296296296296298,0.6851851851851852,0.31481481481481477
374,M436594332,277,65,4.134328358208955,0.835820895522388,0.16417910447761197
375,M245811064,584,190,6.279569892473118,0.4946236559139785,0.5053763440860215
376,M207638686,538,151,6.183908045977011,0.7816091954022989,0.2183908045977011
377,M411045461,8,5,1.6,0.2,0.8
379,M062661758,437,174,3.6115702479338845,0.23140495867768596,0.768595041322314
380,M640653493,98,53,1.6896551724137931,0.5517241379310345,0.4482758620689655
384,M072419092,105,50,2.0588235294117645,0.5490196078431373,0.4509803921568627
391,M142311429,443,68,2.319371727748691,0.8848167539267016,0.11518324607329844
392,M056621722,677,191,3.620320855614973,0.6631016042780749,0.33689839572192515
397,M081569058,95,48,1.9791666666666667,0.3541666666666667,0.6458333333333333
398,M501683336,84,41,2.4,0.7714285714285715,0.22857142857142854
399,M701304871,172,88,6.37037037037037,0.9259259259259259,0.07407407407407407
404,M398872489,94,46,4.086956521739131,0.21739130434782608,0.782608695652174
412,M858126924,857,163,4.787709497206704,0.6703910614525139,0.3296089385474861
420,M013285074,208,77,1.908256880733945,0.6880733944954128,0.3119266055045872
423,M896896560,315,31,1.2256809338521402,0.6964980544747081,0.30350194552529186
424,M533330698,142,63,2.253968253968254,0.7777777777777778,0.2222222222222222
425,M661395471,67,34,3.9411764705882355,0.9411764705882353,0.05882352941176472
426,M594992791,266,97,2.66,0.34,0.6599999999999999
427,M263406446,472,156,2.097777777777778,0.6933333333333334,0.30666666666666664
428,M182645944,171,76,3.8863636363636362,0.6363636363636364,0.36363636363636365
429,M311201219,1,1,1.0,1.0,0.0
430,M593107613,33,21,8.25,0.75,0.25
432,M350838042,150,61,3.0,0.8,0.19999999999999996
434,M298972946,136,70,3.238095238095238,0.6904761904761905,0.30952380952380953
435,M179653812,1152,284,5.788944723618091,0.48743718592964824,0.5125628140703518
436,M263888884,160,40,6.666666666666667,0.8333333333333334,0.16666666666666663
437,M448609005,397,97,9.925,0.525,0.475
438,M282287857,84,40,1.423728813559322,0.4576271186440678,0.5423728813559322
439,M185122523,39,22,1.7727272727272727,0.5454545454545454,0.4545454545454546
440,M185111231,837,131,3.3346613545816735,0.701195219123506,0.298804780876494
441,M123783273,74,31,1.4509803921568627,0.803921568627451,0.196078431372549
442,M953537328,293,82,2.7904761904761903,0.37142857142857144,0.6285714285714286
449,M330277227,854,187,3.3622047244094486,0.7559055118110236,0.2440944881889764
450,M991142381,33,12,1.65,0.35,0.65
454,M576689847,2144,185,4.091603053435114,0.6049618320610687,0.3950381679389313
455,M738189511,618,179,3.791411042944785,0.5644171779141104,0.4355828220858896
456,M143027432,121,34,1.9206349206349207,0.746031746031746,0.25396825396825395
457,M153728920,822,197,3.7194570135746607,0.7782805429864253,0.22171945701357465
460,M645976443,408,138,2.1818181818181817,0.6684491978609626,0.3315508021390374
462,M762374565,335,91,3.3838383838383836,0.9292929292929293,0.07070707070707072
463,M662330091,509,133,2.345622119815668,0.6036866359447005,0.3963133640552995
464,M577654091,135,40,1.25,0.5277777777777778,0.4722222222222222
466,M164780413,72,47,3.130434782608696,0.34782608695652173,0.6521739130434783
467,M544201308,541,49,1.3871794871794871,0.6,0.4
468,M085265637,39,27,1.3,0.4666666666666667,0.5333333333333333
469,M732454229,316,114,2.5901639344262297,0.04918032786885246,0.9508196721311475
473,M027441945,458,144,2.8271604938271606,0.7407407407407407,0.2592592592592593
474,M519427263,541,135,1.5958702064896755,0.5988200589970502,0.40117994100294985
475,M070544564,849,253,6.288888888888889,0.5037037037037037,0.49629629629629635
479,M226332649,602,159,7.525,0.6,0.4
481,M633282276,106,30,2.0,0.7547169811320755,0.24528301886792447
484,M205363338,276,59,1.7142857142857142,0.6335403726708074,0.36645962732919257
486,M962965060,62,34,3.4444444444444446,0.6111111111111112,0.38888888888888884
487,M984043972,420,62,1.6535433070866141,0.7913385826771654,0.2086614173228346
488,M205485737,127,55,1.8142857142857143,0.6571428571428571,0.34285714285714286
493,M117809504,141,56,1.5842696629213484,0.6853932584269663,0.3146067415730337
495,M598228720,403,151,1.6584362139917694,0.3868312757201646,0.6131687242798354
496,M183680726,173,64,1.6634615384615385,0.4519230769230769,0.5480769230769231
497,M811221360,131,60,1.7945205479452055,0.3972602739726027,0.6027397260273972
498,M830841749,413,84,2.549382716049383,0.15432098765432098,0.845679012345679
499,M736029357,516,110,4.73394495412844,0.7247706422018348,0.27522935779816515
501,M201766112,181,68,1.846938775510204,0.32653061224489793,0.6734693877551021
502,M695297284,267,87,2.1885245901639343,0.8278688524590164,0.17213114754098358
504,M863620095,75,45,3.75,0.35,0.65
506,M046113622,57,33,1.3571428571428572,0.7857142857142857,0.2142857142857143
507,M038025013,57,38,2.111111111111111,0.2962962962962963,0.7037037037037037
508,M131789394,35,24,2.1875,0.6875,0.3125
509,M526195887,250,105,1.5432098765432098,0.7654320987654321,0.23456790123456794
510,M018184823,134,74,2.310344827586207,0.5689655172413793,0.43103448275862066
511,M317849762,507,78,2.535,0.62,0.38
512,M282651149,58,39,3.411764705882353,0.6470588235294118,0.3529411764705882
513,M686992522,480,172,3.779527559055118,0.8031496062992126,0.19685039370078738
514,M769600155,3,1,1.0,0.6666666666666666,0.33333333333333337
515,M729284172,347,112,1.5844748858447488,0.6621004566210046,0.3378995433789954
522,M325661634,375,105,5.859375,0.203125,0.796875
536,M702291596,70,38,1.4,0.2,0.8
537,M648254795,148,57,1.4230769230769231,0.625,0.375
538,M253642334,173,77,2.7903225806451615,0.6935483870967742,0.30645161290322576
539,M372939322,66,47,3.142857142857143,0.3333333333333333,0.6666666666666667
540,M088827294,189,74,1.5365853658536586,0.34146341463414637,0.6585365853658536
542,M455824780,1376,294,6.583732057416268,0.6794258373205742,0.32057416267942584
544,M642054815,122,49,1.6266666666666667,0.25333333333333335,0.7466666666666666
551,M740316079,1089,161,6.5602409638554215,0.7469879518072289,0.2530120481927711
552,M281834288,290,119,5.2727272727272725,0.14545454545454545,0.8545454545454545
556,M323702255,317,102,19.8125,0.6875,0.3125
558,M589321117,390,155,1.8483412322274881,0.5308056872037915,0.4691943127962085
559,M154631657,868,160,3.757575757575758,0.7186147186147186,0.2813852813852814
563,M910235569,204,97,2.1473684210526316,0.6947368421052632,0.3052631578947368
564,M426611726,13,8,1.1818181818181819,0.36363636363636365,0.6363636363636364
565,M321170502,259,83,6.815789473684211,0.6578947368421053,0.3421052631578947
566,M671806083,500,142,2.5510204081632653,0.4030612244897959,0.596938775510204
567,M596502154,812,144,1.8288288288288288,0.6261261261261262,0.37387387387387383
568,M326503256,272,102,5.913043478260869,0.5217391304347826,0.4782608695652174
571,M696696054,182,78,1.2727272727272727,0.5734265734265734,0.42657342657342656
572,M992067686,374,134,2.921875,0.59375,0.40625
575,M523038535,350,84,1.9886363636363635,0.18181818181818182,0.8181818181818181
577,M193455495,321,134,4.28,0.30666666666666664,0.6933333333333334
579,M985499664,681,153,2.599236641221374,0.7175572519083969,0.2824427480916031
581,M819862062,173,72,5.9655172413793105,0.7586206896551724,0.24137931034482762
589,M024101254,172,73,2.1772151898734178,0.5189873417721519,0.4810126582278481
594,M349334435,445,141,2.4184782608695654,0.5434782608695652,0.4565217391304348
596,M083270072,848,182,3.9812206572769955,0.2300469483568075,0.7699530516431925
597,M163037071,173,65,2.746031746031746,0.5873015873015873,0.4126984126984127
599,M744087833,66,33,1.375,0.8541666666666666,0.14583333333333337
602,M963110512,83,40,1.3387096774193548,0.7096774193548387,0.29032258064516125
604,M927459944,252,96,1.5180722891566265,0.5180722891566265,0.4819277108433735
607,M050037422,12,9,1.3333333333333333,0.2222222222222222,0.7777777777777778
608,M540285266,72,27,1.44,0.78,0.21999999999999997
609,M473840199,89,33,2.3421052631578947,0.8157894736842105,0.1842105263157895
610,M098691956,670,124,3.3004926108374386,0.6600985221674877,0.33990147783251234
612,M638623920,218,78,1.7723577235772359,0.35772357723577236,0.6422764227642277
613,M716420925,660,157,4.230769230769231,0.3141025641025641,0.6858974358974359
614,M886716967,498,154,3.772727272727273,0.5833333333333334,0.41666666666666663
615,M743162991,162,69,1.6875,0.5625,0.4375
617,M113763811,360,118,1.8090452261306533,0.6130653266331658,0.3869346733668342
618,M565268465,225,55,1.9230769230769231,0.7692307692307693,0.23076923076923073
619,M206689995,118,54,1.4390243902439024,0.6829268292682927,0.31707317073170727
620,M881295041,18,11,1.0,0.2222222222222222,0.7777777777777778
621,M796142629,3,2,1.0,0.6666666666666666,0.33333333333333337
623,M463646981,67,48,2.2333333333333334,0.26666666666666666,0.7333333333333334
624,M241023449,1403,263,6.34841628959276,0.6063348416289592,0.39366515837104077
625,M915705833,1614,272,4.876132930513595,0.6978851963746223,0.3021148036253777
627,M624880671,670,189,4.110429447852761,0.44171779141104295,0.558282208588957
628,M851088731,128,49,1.7777777777777777,0.6388888888888888,0.36111111111111116
629,M300709577,1840,200,9.945945945945946,0.8378378378378378,0.16216216216216217
630,M138404016,230,65,1.5862068965517242,0.8,0.19999999999999996
631,M528097150,434,130,1.9817351598173516,0.3881278538812785,0.6118721461187215
635,M148171146,400,95,1.834862385321101,0.3853211009174312,0.6146788990825688
637,M783908672,1298,265,5.476793248945148,0.679324894514768,0.32067510548523204
640,M688055546,1243,175,9.865079365079366,0.7301587301587301,0.2698412698412699
642,M227598269,225,106,4.787234042553192,0.2553191489361702,0.7446808510638299
643,M994408992,642,170,4.686131386861314,0.7226277372262774,0.2773722627737226
644,M230976524,315,93,1.6844919786096257,0.5882352941176471,0.4117647058823529
646,M855865931,51,28,1.186046511627907,0.20930232558139536,0.7906976744186046
648,M973279178,334,49,1.6292682926829267,0.5951219512195122,0.40487804878048783
649,M955472914,108,72,4.695652173913044,0.43478260869565216,0.5652173913043479
650,M159375452,290,88,3.9726027397260273,0.863013698630137,0.136986301369863
652,M588861009,461,117,5.488095238095238,0.8333333333333334,0.16666666666666663
653,M014339861,110,67,2.0,0.7818181818181819,0.21818181818181814
655,M425442290,157,52,1.4672897196261683,0.6822429906542056,0.31775700934579443
656,M293971269,184,68,2.358974358974359,0.6794871794871795,0.3205128205128205
657,M763821861,37,20,5.285714285714286,0.7142857142857143,0.2857142857142857
658,M639610559,123,43,1.662162162162162,0.8378378378378378,0.16216216216216217
659,M790389301,630,125,3.15,0.745,0.255
660,M156626330,371,114,1.962962962962963,0.7407407407407407,0.2592592592592593
663,M691001733,651,169,2.503846153846154,0.5884615384615385,0.4115384615384615
665,M137293709,69,21,1.0454545454545454,0.6363636363636364,0.36363636363636365
666,M768886877,133,59,2.3333333333333335,0.8596491228070176,0.14035087719298245
673,M906632032,550,136,2.8947368421052633,0.7315789473684211,0.2684210526315789
674,M962168384,140,16,1.09375,0.765625,0.234375
675,M256210228,199,87,1.7008547008547008,0.5042735042735043,0.49572649572649574
677,M848484390,28,20,1.12,0.16,0.84
680,M910085650,723,229,2.9631147540983607,0.819672131147541,0.180327868852459
684,M479079032,193,77,5.361111111111111,0.1111111111111111,0.8888888888888888
688,M382044219,223,51,1.4768211920529801,0.6556291390728477,0.3443708609271523
689,M408121877,89,34,1.435483870967742,0.6451612903225806,0.3548387096774194
696,M686863232,186,89,2.5135135135135136,0.17567567567567569,0.8243243243243243
697,M671280935,152,27,1.4615384615384615,0.7884615384615384,0.21153846153846156
698,M358798958,59,21,1.4390243902439024,0.4634146341463415,0.5365853658536586
701,M012936022,45,21,1.4516129032258065,0.6451612903225806,0.3548387096774194
702,M939459373,695,190,3.9942528735632186,0.764367816091954,0.23563218390804597
704,M228934898,943,218,6.735714285714286,0.5142857142857142,0.48571428571428577
706,M453663197,183,88,3.893617021276596,0.425531914893617,0.574468085106383
708,M586645156,198,73,3.8076923076923075,0.7692307692307693,0.23076923076923073
709,M773977093,370,153,3.8947368421052633,0.6,0.4
712,M329379634,152,45,2.6206896551724137,0.20689655172413793,0.7931034482758621
713,M385378751,241,52,1.7092198581560283,0.6666666666666666,0.33333333333333337
720,M943231214,156,38,1.1142857142857143,0.5,0.5
721,M868511118,48,19,1.3333333333333333,0.2777777777777778,0.7222222222222222
727,M652409781,442,71,2.2666666666666666,0.7384615384615385,0.2615384615384615
731,M144266465,55,30,1.25,0.5,0.5
736,M946555429,193,42,2.3536585365853657,0.2682926829268293,0.7317073170731707
738,M155118619,142,64,3.1555555555555554,0.1111111111111111,0.8888888888888888
739,M172530920,497,131,1.9722222222222223,0.5714285714285714,0.4285714285714286
740,M724735320,516,115,2.2051282051282053,0.7350427350427351,0.2649572649572649
742,M118705305,645,161,5.201612903225806,0.46774193548387094,0.532258064516129
747,M523807626,84,32,1.3333333333333333,0.746031746031746,0.25396825396825395
748,M545634703,221,82,1.8114754098360655,0.8688524590163934,0.1311475409836066
749,M473125141,696,133,5.704918032786885,0.4262295081967213,0.5737704918032787
750,M567331707,245,79,1.8846153846153846,0.2692307692307692,0.7307692307692308
751,M839993508,147,6,1.0208333333333333,0.4722222222222222,0.5277777777777778
758,M153301641,184,59,1.9574468085106382,0.6382978723404256,0.36170212765957444
759,M837797129,145,75,2.457627118644068,0.847457627118644,0.15254237288135597
762,M668130552,299,57,3.9342105263157894,0.8421052631578947,0.1578947368421053
763,M591942182,367,149,3.4952380952380953,0.7904761904761904,0.20952380952380956
768,M830396092,293,115,2.078014184397163,0.7801418439716312,0.21985815602836878
770,M075995202,410,125,1.8468468468468469,0.4864864864864865,0.5135135135135135
771,M681527141,821,236,7.819047619047619,0.5523809523809524,0.4476190476190476
772,M142065131,328,123,2.8275862068965516,0.5517241379310345,0.4482758620689655
773,M794513392,56,25,1.5135135135135136,0.3783783783783784,0.6216216216216216
779,M740635403,206,94,2.9014084507042255,0.7323943661971831,0.2676056338028169
780,M876101498,1469,274,7.200980392156863,0.7941176470588235,0.20588235294117652
781,M180581027,29,11,1.16,0.8,0.19999999999999996
784,M938305951,369,133,1.845,0.765,0.235
786,M676674347,86,22,2.388888888888889,0.2222222222222222,0.7777777777777778
788,M941739760,121,49,1.4069767441860466,0.7558139534883721,0.2441860465116279
790,M639909786,180,97,2.3376623376623376,0.44155844155844154,0.5584415584415585
793,M805001563,326,82,2.1032258064516127,0.6129032258064516,0.3870967741935484
795,M139230976,18,16,1.0588235294117647,0.29411764705882354,0.7058823529411764
796,M199918823,795,185,3.5972850678733033,0.5565610859728507,0.4434389140271493
798,M837947257,1064,206,7.6,0.7928571428571428,0.20714285714285718
800,M439565447,315,145,2.52,0.4,0.6
801,M380362011,222,94,3.5238095238095237,0.746031746031746,0.25396825396825395
803,M675461091,493,198,3.0060975609756095,0.7439024390243902,0.25609756097560976
804,M682413497,213,52,2.5058823529411764,0.7058823529411765,0.2941176470588235
805,M410974362,324,139,2.1456953642384105,0.7086092715231788,0.29139072847682124
806,M116478829,43,20,1.8695652173913044,0.34782608695652173,0.6521739130434783
808,M320474582,94,41,3.4814814814814814,0.7037037037037037,0.2962962962962963
819,M222290281,1151,211,10.096491228070175,0.7368421052631579,0.26315789473684215
821,M402794395,418,120,1.9,0.4409090909090909,0.5590909090909091
822,M472417736,299,114,2.3,0.5153846153846153,0.48461538461538467
823,M749486808,344,129,6.254545454545455,0.6,0.4
826,M975646754,249,80,1.3532608695652173,0.4076086956521739,0.5923913043478262
827,M511952367,239,68,1.5933333333333333,0.16,0.84
828,M471728550,208,84,2.810810810810811,0.6351351351351351,0.3648648648648649
829,M111934771,76,34,1.4074074074074074,0.6111111111111112,0.38888888888888884
830,M020136767,94,55,2.186046511627907,0.5348837209302325,0.4651162790697675
831,M656737591,114,50,1.3103448275862069,0.2413793103448276,0.7586206896551724
832,M023577934,188,70,2.611111111111111,0.6388888888888888,0.36111111111111116
833,M009731870,497,121,4.321739130434783,0.7652173913043478,0.23478260869565215
836,M680825569,201,88,2.9130434782608696,0.21739130434782608,0.782608695652174
837,M852720148,470,135,5.7317073170731705,0.3902439024390244,0.6097560975609756
843,M490359476,47,25,1.88,0.64,0.36
847,M512121304,513,136,4.104,0.784,0.21599999999999997
848,M493122026,173,53,2.1625,0.7125,0.2875
849,M789404870,2430,263,13.135135135135135,0.7081081081081081,0.2918918918918919
852,M065151598,362,98,2.1169590643274856,0.5380116959064327,0.4619883040935673
854,M348056935,54,28,1.125,0.7083333333333334,0.29166666666666663
856,M051581833,514,131,6.506329113924051,0.6582278481012658,0.3417721518987342
857,M496844384,141,53,3.710526315789474,0.5263157894736842,0.4736842105263158
858,M941198920,646,177,3.4361702127659575,0.35638297872340424,0.6436170212765957
860,M979862567,615,212,9.461538461538462,0.5230769230769231,0.4769230769230769
861,M678205637,315,89,1.5,0.38095238095238093,0.6190476190476191
862,M546798182,316,87,5.962264150943396,0.8301886792452831,0.16981132075471694
863,M567637265,18,10,1.8,0.2,0.8
866,M323773246,239,69,2.7471264367816093,0.11494252873563218,0.8850574712643678
867,M464594888,270,101,5.74468085106383,0.5106382978723404,0.4893617021276596
875,M232452691,172,80,6.615384615384615,0.5769230769230769,0.42307692307692313
888,M660057347,287,77,2.314516129032258,0.4596774193548387,0.5403225806451613
891,M635243433,44,24,1.2941176470588236,0.7058823529411765,0.2941176470588235
892,M716073127,480,172,2.2641509433962264,0.6509433962264151,0.34905660377358494
893,M649268943,51,39,1.5454545454545454,0.42424242424242425,0.5757575757575757
896,M270037733,110,50,1.5714285714285714,0.5285714285714286,0.4714285714285714
913,M209483390,10,7,1.1111111111111112,0.6666666666666666,0.33333333333333337
914,M183296106,490,145,3.858267716535433,0.5039370078740157,0.49606299212598426
920,M236433557,760,206,4.393063583815029,0.5838150289017341,0.4161849710982659
924,M109733557,1425,274,4.88013698630137,0.3904109589041096,0.6095890410958904
927,M254848060,386,128,3.898989898989899,0.6464646464646465,0.3535353535353535
936,M064408352,248,84,8.0,0.6129032258064516,0.3870967741935484
937,M228124869,115,37,1.4197530864197532,0.5185185185185185,0.4814814814814815
